financial_year,property_type,sold_or_rented,flat_type,no_of_units
2006,HDB,sold,1-room flats,0
2006,HDB,sold,2-room flats,101
2006,HDB,sold,3-room flats,961
2006,HDB,sold,4-room flats,2290
2006,HDB,sold,5-room flats,1303
2006,HDB,sold,Executive/Multi-Generation flats,1057
2006,HDB,sold,Studio Apartments,na
2006,HDB,rented,1-room flats,1929
2006,HDB,rented,2-room flats,1417
2006,HDB,rented,3-room flats,688
2006,HDB,rented,4-room flats,3
2006,HDB,rented,5-room flats,0
2006,HDB,rented,Executive/Multi-Generation flats,0
2006,HDB,rented,Studio Apartments,na
2006,DBSS,sold,3-room flats,na
2006,DBSS,sold,4-room flats,na
2006,DBSS,sold,5-room flats,na
2006,DBSS,rented,3-room flats,na
2006,DBSS,rented,4-room flats,na
2006,DBSS,rented,5-room flats,na
2007,HDB,sold,1-room flats,0
2007,HDB,sold,2-room flats,142
2007,HDB,sold,3-room flats,1852
2007,HDB,sold,4-room flats,6056
2007,HDB,sold,5-room flats,2343
2007,HDB,sold,Executive/Multi-Generation flats,1598
2007,HDB,sold,Studio Apartments,na
2007,HDB,rented,1-room flats,1147
2007,HDB,rented,2-room flats,1066
2007,HDB,rented,3-room flats,272
2007,HDB,rented,4-room flats,250
2007,HDB,rented,5-room flats,0
2007,HDB,rented,Executive/Multi-Generation flats,0
2007,HDB,rented,Studio Apartments,na
2007,DBSS,sold,3-room flats,na
2007,DBSS,sold,4-room flats,na
2007,DBSS,sold,5-room flats,na
2007,DBSS,rented,3-room flats,na
2007,DBSS,rented,4-room flats,na
2007,DBSS,rented,5-room flats,na
2008,HDB,sold,1-room flats,0
2008,HDB,sold,2-room flats,23
2008,HDB,sold,3-room flats,713
2008,HDB,sold,4-room flats,2915
2008,HDB,sold,5-room flats,914
2008,HDB,sold,Executive/Multi-Generation flats,173
2008,HDB,sold,Studio Apartments,na
2008,HDB,rented,1-room flats,1238
2008,HDB,rented,2-room flats,1200
2008,HDB,rented,3-room flats,12
2008,HDB,rented,4-room flats,0
2008,HDB,rented,5-room flats,0
2008,HDB,rented,Executive/Multi-Generation flats,0
2008,HDB,rented,Studio Apartments,na
2008,DBSS,sold,3-room flats,na
2008,DBSS,sold,4-room flats,na
2008,DBSS,sold,5-room flats,na
2008,DBSS,rented,3-room flats,na
2008,DBSS,rented,4-room flats,na
2008,DBSS,rented,5-room flats,na
2009,HDB,sold,1-room flats,0
2009,HDB,sold,2-room flats,60
2009,HDB,sold,3-room flats,476
2009,HDB,sold,4-room flats,3612
2009,HDB,sold,5-room flats,778
2009,HDB,sold,Executive/Multi-Generation flats,64
2009,HDB,sold,Studio Apartments,na
2009,HDB,rented,1-room flats,1744
2009,HDB,rented,2-room flats,1231
2009,HDB,rented,3-room flats,5
2009,HDB,rented,4-room flats,0
2009,HDB,rented,5-room flats,0
2009,HDB,rented,Executive/Multi-Generation flats,0
2009,HDB,rented,Studio Apartments,na
2009,DBSS,sold,3-room flats,na
2009,DBSS,sold,4-room flats,na
2009,DBSS,sold,5-room flats,na
2009,DBSS,rented,3-room flats,na
2009,DBSS,rented,4-room flats,na
2009,DBSS,rented,5-room flats,na
2010,HDB,sold,1-room flats,0
2010,HDB,sold,2-room flats,228
2010,HDB,sold,3-room flats,1884
2010,HDB,sold,4-room flats,5331
2010,HDB,sold,5-room flats,640
2010,HDB,sold,Executive/Multi-Generation flats,42
2010,HDB,sold,Studio Apartments,na
2010,HDB,rented,1-room flats,2033
2010,HDB,rented,2-room flats,1380
2010,HDB,rented,3-room flats,1
2010,HDB,rented,4-room flats,0
2010,HDB,rented,5-room flats,0
2010,HDB,rented,Executive/Multi-Generation flats,0
2010,HDB,rented,Studio Apartments,na
2010,DBSS,sold,3-room flats,na
2010,DBSS,sold,4-room flats,na
2010,DBSS,sold,5-room flats,na
2010,DBSS,rented,3-room flats,na
2010,DBSS,rented,4-room flats,na
2010,DBSS,rented,5-room flats,na
2011,HDB,sold,1-room flats,0
2011,HDB,sold,2-room flats,276
2011,HDB,sold,3-room flats,1960
2011,HDB,sold,4-room flats,8497
2011,HDB,sold,5-room flats,1761
2011,HDB,sold,Executive/Multi-Generation flats,55
2011,HDB,sold,Studio Apartments,369
2011,HDB,rented,1-room flats,2455
2011,HDB,rented,2-room flats,1640
2011,HDB,rented,3-room flats,0
2011,HDB,rented,4-room flats,0
2011,HDB,rented,5-room flats,0
2011,HDB,rented,Executive/Multi-Generation flats,0
2011,HDB,rented,Studio Apartments,na
2011,DBSS,sold,3-room flats,2
2011,DBSS,sold,4-room flats,361
2011,DBSS,sold,5-room flats,776
2011,DBSS,rented,3-room flats,0
2011,DBSS,rented,4-room flats,0
2011,DBSS,rented,5-room flats,0
2012,HDB,sold,1-room flats,0
2012,HDB,sold,2-room flats,650
2012,HDB,sold,3-room flats,2333
2012,HDB,sold,4-room flats,6122
2012,HDB,sold,5-room flats,1328
2012,HDB,sold,Executive/Multi-Generation flats,100
2012,HDB,sold,Studio Apartments,422
2012,HDB,rented,1-room flats,2734
2012,HDB,rented,2-room flats,1695
2012,HDB,rented,3-room flats,8
2012,HDB,rented,4-room flats,14
2012,HDB,rented,5-room flats,0
2012,HDB,rented,Executive/Multi-Generation flats,0
2012,HDB,rented,Studio Apartments,0
2012,DBSS,sold,3-room flats,95
2012,DBSS,sold,4-room flats,306
2012,DBSS,sold,5-room flats,821
2012,DBSS,rented,3-room flats,0
2012,DBSS,rented,4-room flats,0
2012,DBSS,rented,5-room flats,0
2013,HDB,sold,1-room flats,0
2013,HDB,sold,2-room flats,967
2013,HDB,sold,3-room flats,2757
2013,HDB,sold,4-room flats,7477
2013,HDB,sold,5-room flats,2073
2013,HDB,sold,Executive/Multi-Generation flats,36
2013,HDB,sold,Studio Apartments,1079
2013,HDB,rented,1-room flats,1592
2013,HDB,rented,2-room flats,1179
2013,HDB,rented,3-room flats,500
2013,HDB,rented,4-room flats,446
2013,HDB,rented,5-room flats,21
2013,HDB,rented,Executive/Multi-Generation flats,0
2013,HDB,rented,Studio Apartments,0
2013,DBSS,sold,3-room flats,167
2013,DBSS,sold,4-room flats,511
2013,DBSS,sold,5-room flats,137
2013,DBSS,rented,3-room flats,0
2013,DBSS,rented,4-room flats,0
2013,DBSS,rented,5-room flats,0
2014,HDB,sold,1-room flats,0
2014,HDB,sold,2-room flats,1224
2014,HDB,sold,3-room flats,3718
2014,HDB,sold,4-room flats,11414
2014,HDB,sold,5-room flats,5392
2014,HDB,sold,Executive/Multi-Generation flats,13
2014,HDB,sold,Studio Apartments,2578
2014,HDB,rented,1-room flats,1505
2014,HDB,rented,2-room flats,1308
2014,HDB,rented,3-room flats,52
2014,HDB,rented,4-room flats,154
2014,HDB,rented,5-room flats,74
2014,HDB,rented,Executive/Multi-Generation flats,0
2014,HDB,rented,Studio Apartments,na
2014,DBSS,sold,3-room flats,738
2014,DBSS,sold,4-room flats,1598
2014,DBSS,sold,5-room flats,1004
2014,DBSS,sold,5-room flats,0
2014,DBSS,rented,3-room flats,0
2014,DBSS,rented,4-room flats,0
